"year","Land.emissions","Total.Emissions.GTCO2.per.year","damages","DF","r"
2260,0,8.86519999987456e-06,80.4556490038522,0.00024795430147524,0.0248381197
2265,0,8.66409999922269e-06,83.4513499967215,0.000219328612841906,0.0245978517
2270,0,8.46520000052919e-06,86.5045699993061,0.000194235267073649,0.0243610125
2275,0,8.2688000002662e-06,89.5942919987647,0.000172211790980056,0.0241287619
2280,0,8.07760000043345e-06,92.7639029987404,0.000152858666884233,0.0239018136
2285,0,7.88890000080755e-06,95.9826720009005,0.000135830877560519,0.0236806625
2290,0,7.70309999964525e-06,99.2371819984328,0.000120830343220626,0.0234657711
2295,0,7.52180000063163e-06,102.570549001939,0.000107599287570708,0.0232577598
2300,0,7.34209999997404e-06,105.969214000652,9.59144767463217e-05,0.0230576604
2305,0,7.162599999333e-06,109.456350000983,8.55822310399621e-05,0.0228673046
2310,0,6.98000000021182e-06,113.07579500226,7.64340935840345e-05,0.0226899797
2315,0,6.78780000029633e-06,116.843885007256,6.83230296310205e-05,0.0225331537
2320,0,0.00986691310000065,120.248028997594,6.11195468280485e-05,0.0224069816
2325,0,0,131.732002000717,5.47092918409389e-05,0.0223251741
2330,0,0,142.303833999904,4.89909450805209e-05,0.0223698897
2335,0,0,151.177518000623,4.38607006999475e-05,0.0152027062
2340,0,0,155.847406003886,4.06735174305461e-05,0.0232435681
2345,0,0,162.347454997871,3.62590661378945e-05,0.0225134487
2350,0,0,168.207728002017,3.2439299724626e-05,0.0219639621
2355,0,0,173.626835994583,2.9100038495709e-05,0.0215387155
2360,0,0,178.73251799756,2.61588959306189e-05,0.0212000516
2365,0,0,183.611399997972,2.35540324855149e-05,0.0209224261
2370,0,0,188.323596003102,2.12374099542388e-05,0.0206883142
2375,0,0,192.911151998487,1.91706058216467e-05,0.0204855927
2380,0,0,197.403474003295,1.7322136198524e-05,0.0203298174
2385,0,-2.75364000010825e-05,201.827498003695,1.56638515039167e-05,0
